age,bmi
18,31.326159420289855
19,28.59691176470588
20,30.632758620689657
21,28.185714285714287
22,31.087678571428572
23,31.454464285714288
24,29.142678571428572
25,29.693928571428568
26,29.42892857142857
27,29.333571428571428
28,29.482142857142858
29,29.38314814814815
30,30.55759259259259
31,29.918333333333333
32,31.597692307692306
33,31.163076923076922
34,30.27403846153846
35,31.3948
36,29.374200000000002
37,31.2166
38,28.996599999999997
39,29.9102
40,30.139074074074074
41,31.506851851851852
42,30.32814814814815
43,30.204444444444444
44,30.84425925925926
45,29.77896551724138
46,31.340862068965517
47,30.664310344827587
48,31.925689655172416
49,30.31392857142857
50,31.132241379310347
51,31.727068965517244
52,32.93603448275862
53,30.360892857142858
54,31.23428571428571
55,31.950000000000003
56,31.60096153846154
57,30.84442307692308
58,32.7182
59,30.572
60,30.33282608695652
61,32.54826086956522
62,32.342608695652174
63,31.923478260869565
64,32.976136363636364
